DescriptorClass,DescriptorUI,NLMClassificationNumber,DescriptorName,DateCreated,Annotation,AllowableQualifiersList,PharmacologicalActionList,OnlineNote,HistoryNote,PublicMeSHNote
{'DescriptorClass': '1'},D001799,QY 408,,,"NIM; /drug eff /rad eff permitted; coord with disease /blood, not /physiopathol",,,,,
{'DescriptorClass': '1'},D001800,QY 118,,,"includes ""handling""",,,,,
{'DescriptorClass': '1'},D001801,W 750,,,,,,,,
{'DescriptorClass': '1'},D001802,WH 450,,,PLASMA SUBSTITUTES is also available,,,search PLASMA SUBSTITUTES 1966-80,81; was see PLASMA SUBSTITUTES 1963-80,81; was see PLASMA SUBSTITUTES 1963-80
{'DescriptorClass': '1'},D001803,,,,general or unspecified; prefer specifics,,,,,
{'DescriptorClass': '1'},D001804,,,,/adv eff: coordinate with TRANSFUSION REACTION if pertinent,,,,71,71
{'DescriptorClass': '1'},D001805,WQ 210,,,coordinate with specific type of transfusion if pertinent; /adv eff: coordinate with TRANSFUSION REACTION if pertinent,,,,68(65),68
{'DescriptorClass': '1'},D001806,,,,note category; AZOTEMIA is available for the disease,,,,67(64),67
{'DescriptorClass': '1'},D001807,WG 26,,,,,,,,
{'DescriptorClass': '1'},D001808,,,,general or unspecified only: prefer specifics and/or /blood supply with anatomical terms; permeability = VASCULAR PERMEABILITY see CAPILLARY PERMEABILITY; inflammation = VASCULITIS or its specifics; radiography of blood vessels = ANGIOGRAPHY,,,,/transplantation was BLOOD VESSEL TRANSPLANTATION 1963-65,/transplantation was BLOOD VESSEL TRANSPLANTATION 1963-65
{'DescriptorClass': '1'},D001809,,,,"coordinate IM with disease /blood (IM), not /physiopathol",,,,,
{'DescriptorClass': '1'},D001810,WG 106,,,"PLASMA VOLUME; ERYTHROCYTE VOLUME; & ERYTHROCYTE VOLUME, PACKED are also available; coordinate IM with disease /physiopathol (IM), not /blood",,,,,
{'DescriptorClass': '1'},D001811,WG 141,,,"NIM; coord with disease /physiopathol, not /blood",,,,,
{'DescriptorClass': '1'},D001812,WL 200,,,coord IM with endogenous substance /metab (IM) or exogenous substance /pharmacokin (IM),,,,66; was HEMATO-ENCEPHALIC BARRIER 1963-65,66; was HEMATO-ENCEPHALIC BARRIER 1963-65
{'DescriptorClass': '1'},D001813,,,,coord IM with endogenous substance /metab (IM) or exogenous substance /pharmacokin (IM),,,,87,87
{'DescriptorClass': '1'},D001814,,,,coord IM with endogenous substance /metab (IM) or exogenous substance /pharmacokin (IM),,,,76(75); was see under TESTIS 1975,76; was see under TESTIS 1975
{'DescriptorClass': '1'},D001815,WB 381,,,restrict to hist articles or hist contexts: modern counterpart is PHLEBOTOMY,,,,,
{'DescriptorClass': '1'},D001816,,,,,,,,82,82
{'DescriptorClass': '1'},D001819,,,,caused by a reovirus; usually animal; check tag ANIMALS; don't forget also SHEEP (NIM) but do not index under SHEEP DISEASES,,,use BLUETONGUE to search BLUE TONGUE 1968-93 (as Prov 1968-73),94; was BLUE TONGUE 1968-93 (Prov 1968-73),94; was BLUE TONGUE 1974-93
{'DescriptorClass': '1'},D001820,QW 168.5.R15,,,infection = BLUETONGUE: see note there,,,use BLUETONGUE VIRUS to search BLUE TONGUE VIRUS 1975-93,"94; was BLUE TONGUE VIRUS 1975-93 (see under REOVIRIDAE 1981-90, see under REOVIRUSES 1975-80)","94; was BLUE TONGUE VIRUS 1975-93 (see under REOVIRIDAE 1981-90, see under REOVIRUSES 1975-80)"
{'DescriptorClass': '1'},D001821,,,,note category: do not confuse with FLUSHING,,,,,
{'DescriptorClass': '1'},D001822,,,,usually NIM,,,,73(71); only radioactive substances 1971-77,73; only radioactive substances 1973-77
{'DescriptorClass': '1'},D001823,,,,,,,,,
{'DescriptorClass': '1'},D001824,,,,,,,,,
{'DescriptorClass': '1'},D001825,QU 105,,,,,,,91(78); was see under BODY FLUIDS 1978-90,91; was see under BODY FLUIDS 1978-90
{'DescriptorClass': '1'},D001826,,,,,,,,,
{'DescriptorClass': '1'},D001827,,,,human only; for height or length of animals use animal /anat (IM) + BIOMETRY (NIM),,,,,
{'DescriptorClass': '1'},D001828,,,,,,,,,
{'DescriptorClass': '1'},D001829,,,,INDEXER: Do not use,,,,98; use explode 1971-97,98
{'DescriptorClass': '1'},D001830,GN 66,,,,,,,70(67),70
{'DescriptorClass': '1'},D001831,,,,,,,,,
{'DescriptorClass': '1'},D001832,,,,INDEXER: Do not use,,,,98; use explode 1975-97,98
{'DescriptorClass': '1'},D001833,QT 165,,,,,,,,
{'DescriptorClass': '1'},D001834,QU 105,,,do not confuse with EXTRACELLULAR FLUID,,,,74(72),74
{'DescriptorClass': '1'},D001835,,,,,,,,,
{'DescriptorClass': '1'},D001836,,,,INDEXER: Do not use,,,,98; use explode 1975-97,98
{'DescriptorClass': '1'},D001837,,,,general or unspecified; prefer specifics; do not confuse with BODY WEIGHT,,,,98; use explode 1975-97,98
{'DescriptorClass': '4'},D001838,,,,,,,,,
{'DescriptorClass': '1'},D001839,QU 68,,,,,,,86(75); was see under PEPTIDES 1975-85,86; was see under PEPTIDES 1975-85
{'DescriptorClass': '1'},D001840,WU 190,,,general or unspecified; prefer specifics,,,"use DENTAL BONDING to search BONDING, DENTAL 1971-90 (as Prov 1971)","91(71); was BONDING, DENTAL 1971-90 (Prov 1971)","91; was BONDING, DENTAL 1972-90"
{'DescriptorClass': '1'},D001841,WM 460.5.B7,,,coordinate with specific animal pet; check tags ANIMALS & HUMAN,,,,91(83); was see under OBJECT ATTACHMENT 1983-90,91; was see under OBJECT ATTACHMENT 1983-90
{'DescriptorClass': '1'},D001842,,,,"/cytol: consider also OSTEOBLASTS; OSTEOCLASTS; OSTEOCYTES; /embryol: consider also OSTEOGENESIS; /surg: consider also OSTEOTOMY or ARTHRODESIS or FRACTURE FIXATION & its specifics; differentiate from SKELETON which is almost never used: restrict SKELETON to bone arrangement as a whole & not for ""skeletal"" which usually means ""bone"" (= BONE AND BONES); inflammation = OSTEITIS; necrosis = OSTEONECROSIS;",,,use BONE TRANSPLANTATION to search BONE AND BONES/transplantation 1966-89,/transplantation was BONE TRANSPLANTATION 1963-65; was BONE AND BONES/transplantation 1966-89,/transplantation was BONE TRANSPLANTATION 1963-65; was BONE AND BONES/transplantation 1966-89
{'DescriptorClass': '1'},D001843,,,,coordinate with specific material if relevant,,,,72,72
{'DescriptorClass': '1'},D001844,WV 272,,,do not confuse with OSTEOCONDUCTION,,,,67(64),67
{'DescriptorClass': '1'},D001845,,,,coord IM with specific bone (IM),,,use BONE CYSTS to search BONE CYST 1966-79,80; was BONE CYST 1963-79,80; was BONE CYST 1963-79
{'DescriptorClass': '1'},D001846,WE 202,,,OSTEOGENESIS is also available,,,,65,65
{'DescriptorClass': '1'},D001847,,,,inflammatory disease = OSTEITIS,,,,,
{'DescriptorClass': '1'},D001848,WE 250,,,,,,,70,70; HYPERTELORISM was see under CRANIOFACIAL DYSOSTOSIS 1963-84
{'DescriptorClass': '1'},D001849,WK 550,,,General or unspecified; prefer specifics; coordinate IM with specific endocrine disease (IM),,,,98; use explode 1971-97,98
{'DescriptorClass': '1'},D001850,WE 251,,,general or unspecified; prefer specifics; coordinate with specific organism/infection term if pertinent,,,,98; use explode 1971-97,98
{'DescriptorClass': '1'},D001851,WE 250,,,,,,,80; was NON MESH before 1980,80
{'DescriptorClass': '1'},D001852,,,,not restricted to long bones; coordinate IM with specific bone /surg (IM) or specific disease /surg (IM),,,search LEG LENGTHENING under LEG LENGTH INEQUALITY 1966-71 (as Prov 1966),72; LEG LENGTHENING was heading 1964-71 (Prov 1964-66),72; LEG LENGTHENING was heading 1967-71
{'DescriptorClass': '1'},D001853,WH 380,,,"/cytol = BONE MARROW CELLS; /transpl = BONE MARROW TRANSPLANTATION: do not coord with TRANSPLANTATION, HOMOLOGOUS; inflammation = OSTEOMYELITIS; fibrosis = MYELOFIBROSIS; do not confuse words containing ""myel-"" for spinal cord with ""myel-"" for bone marrow",,,"use BONE MARROW /CY + BONE MARROW /qualif to search BONE MARROW CELLS /same qualif 1966-77, e.g., search BONE MARROW CELLS /DE under BONE MARROW /CY + BONE MARROW /DE","65; BONE MARROW CELLS was heading 1965-77; /transplantation was BONE MARROW TRANSPLANTATION 1964-65, was BONE MARROW/transplantation 1966-89","65; BONE MARROW CELLS was heading 1965-77; /transplantation was BONE MARROW TRANSPLANTATION 1964-65, was BONE MARROW/transplantation 1966-89"
{'DescriptorClass': '1'},D001854,WH 380,,,,,,,"98; 65-77, use explode 1978-97","98, 65-77"
{'DescriptorClass': '1'},D001855,,,,inflammatory disease = OSTEOMYELITIS,,,,,
{'DescriptorClass': '1'},D001856,WH 380,,,usually NIM,,,,,
{'DescriptorClass': '1'},D001857,,,,,,,,72,72
{'DescriptorClass': '1'},D001858,WE 185,,,note entry term BONE PINS,,,,74(71),74
{'DescriptorClass': '1'},D001859,,,,"GEN: prefer specific precoord; do not confuse with NEOPLASMS, BONE TISSUE (neopl composed of bone tissue); coord IM with specific bone (IM) + histol type of neopl (IM)",,,,,
{'DescriptorClass': '1'},D001860,WE 185,,,,,,,74(71),74
{'DescriptorClass': '1'},D001861,WE 202,,,not for callus formation (= BONY CALLUS with required qualifiers); not for fracture healing (= FRACTURE HEALING); do not confuse OSTEOCONDUCTION with BONE CONDUCTION,,,,65,65
{'DescriptorClass': '1'},D001862,WE 202,,,,,,,65(64),65
{'DescriptorClass': '1'},D001863,WE 185,,,do not confuse with BONE PINS see BONE NAILS,,,,74(71),74
{'DescriptorClass': '1'},D001864,,,,do not confuse with BONE PINS see BONE NAILS,,,,91(86); was see under ORTHOPEDIC FIXATION DEVICES 1986-90,91; was see under ORTHOPEDIC FIXATION DEVICES 1986-90
{'DescriptorClass': '1'},D001865,,,,,,,,91(75); was see under ANTIBIOTICS 1975-90,91; was see under ANTIBIOTICS 1975-90
{'DescriptorClass': '1'},D001867,,,,,,,,,
{'DescriptorClass': '1'},D001868,,,,,,,,,
{'DescriptorClass': '1'},D001869,Z 242.I3,,,,,,,,
{'DescriptorClass': '1'},D001870,,,,,,,,,
{'DescriptorClass': '1'},D001871,Z 276,,,,,,,,
{'DescriptorClass': '1'},D001872,Z 1000,,,,,,,,
{'DescriptorClass': '1'},D001873,,,,use for articles on book reviews as a subject; do not confuse with the Publication Type BOOK REVIEW,,,,2008(1963),2008; see BOOK REVIEWS 1963-2007
{'DescriptorClass': '1'},D001874,,,,no qualif; lists of books probably go here but consider also BIBLIOGRAPHIES AS TOPIC,,,,,
{'DescriptorClass': '1'},D001875,,,,,,,,,
{'DescriptorClass': '1'},D001876,,,,designed labels showing ownership of a book; medical bookplates: do not coordinate with MEDICINE; coordinate IM with subject (IM) if relevant; bookplates of famous medical & non-medical figures: coordinate IM with required biographical and historical headings & check tags; do not confuse with Publication Type BOOKPLATE,,,,2008(1963),2008; see BOOKPLATES 1963-2007
{'DescriptorClass': '1'},D001877,,,,"general or unspecified; not for specific books ( = LITERATURE or specifics); not for lists of books ( = BIBLIOGRAPHIES AS TOPIC or specifics): for books as a means of communication or as a subject (e.g. ""books as carriers of germs"")",,,,64,64
{'DescriptorClass': '1'},D001878,,,,coordinate with subject or type of illustration; do not confuse entry term BOOK ILLUSTRATION with the Publication Type BOOK ILLUSTRATIONS,,,,,
{'DescriptorClass': '1'},D001879,,,,,,,,,
{'DescriptorClass': '1'},D001880,,,,collective name for boron hydrides (do not confuse with BOROHYDRIDES); do not confuse with BORATES or CAMPHANES,,,,68,68
{'DescriptorClass': '1'},D001881,,,,do not confuse with BORANES,,,,,
{'DescriptorClass': '1'},D001882,,,,caused by a pestivirus; border refers to the English-Welsh border where there is a high mortal among sheep from this dis; usually animal; check tag ANIMALS; don't forget also SHEEP (NIM) but do not index under SHEEP DISEASES,,,,91(85); was see under SHEEP DISEASES 1985-90,91; was see under SHEEP DISEASES 1985-90
{'DescriptorClass': '1'},D001883,WM 190.5.B5,,,"""borderline"" is a psychiatric diag: follow text",,,,90(81); was see under PERSONALITY DISORDERS 1981-89,90; was see under PERSONALITY DISORDERS 1981-89
{'DescriptorClass': '1'},D001884,QW 131,,,infection = BORDETELLA INFECTIONS,,,,,
{'DescriptorClass': '1'},D001885,WC 340,,,gram-neg bact infect,,,,72,72
{'DescriptorClass': '1'},D001886,QW 131,,,infection = WHOOPING COUGH,,,,,
{'DescriptorClass': '1'},D001887,BF 575.B67,,,,,,,69,69
{'DescriptorClass': '1'},D001888,QV 239,,,,,,,68,68
{'DescriptorClass': '1'},D001889,,,,do not confuse with BORONIC ACIDS or BORIC ACIDS,,,,68,68
{'DescriptorClass': '1'},D001890,,,,,,,,70,70
{'DescriptorClass': '1'},D001891,,,,infection = BORNA DISEASE,,,,"91(75); was see under VERTEBRATE VIRUSES, UNCLASSIFIED 1981-90; was see under ENCEPHALITIS VIRUSES 1977-80; was see under ARBOVIRUSES 1975-76","91; was see under VERTEBRATE VIRUSES, UNCLASSIFIED 1981-90; was see under ENCEPHALITIS VIRUSES 1977-80; was see under ARBOVIRUSES 1975-76"
{'DescriptorClass': '1'},D001892,,,,do not confuse with BORANES; includes bornenes,,,,2020(1972),2020; see BORNANES 1972-2019
{'DescriptorClass': '4'},D001893,,,,an island in the Malay Archipelago; 3d largest island in the world,,,,,
{'DescriptorClass': '1'},D001894,,,,"do not confuse with boron hydrides, the collective name for BORANES",,,,73(71),73
{'DescriptorClass': '1'},D001895,,,,,,,,,
{'DescriptorClass': '1'},D001896,,,,general or unspecified; prefer specifics,,,,68,68
{'DescriptorClass': '1'},D001897,,,,do not confuse with BORINIC ACIDS,,,,68,68
{'DescriptorClass': '1'},D001898,QW 155,,,"B. burgdorferi or B. burgdorferi group infection = LYME DISEASE; infection by other species = probably RELAPSING FEVER, but if not, index under BORRELIA INFECTIONS",,,,,
{'DescriptorClass': '1'},D001899,WC 406,,,"B. burgdorferi or B. burgdorferi group infection = LYME DISEASE; infection by other species = probably RELAPSING FEVER, but if not, index here",,,,,
{'DescriptorClass': '4'},D001900,,,,,,,,70,
{'DescriptorClass': '1'},D001901,,,,"use for the discipline (education, history, etc) only",,,,,
{'DescriptorClass': '4'},D001902,,,,,,,,,
{'DescriptorClass': '1'},D001903,WS 120,,,human & animal,,,,75,75
{'DescriptorClass': '1'},D001904,,,,,,,,73(72),73
{'DescriptorClass': '1'},D001905,,,,/antag permitted but consider also BOTULINUM ANTITOXIN,,,use BOTULINUM TOXINS to search BOTULINUM TOXIN 1969-77 (as Prov 1969-71),78; was BOTULINUM TOXIN 1969-77 (Prov 1969-71),78; was BOTULINUM TOXIN 1972-77
{'DescriptorClass': '1'},D001906,WC 268,,,coordinate IM with specific Clostridium botulinum type (IM) if pertinent,,,,,
{'DescriptorClass': '1'},D001907,,,,caused by RICKETTSIA CONORII,,,search RICKETTSIAL INFECTIONS 1966-74,87(75); was see under RICKETTSIACEAE INFECTIONS 1977-86; was see under RICKETTSIAL DISEASES 1965-76; was see under ROCKY MOUNTAIN SPOTTED FEVER 1963-64,87; was see under RICKETTSIACEAE INFECTIONS 1977-86; was see under RICKETTSIAL DISEASES 1965-76; was see under ROCKY MOUNTAIN SPOTTED FEVER 1963-64
{'DescriptorClass': '1'},D001908,,,,"historical only: prefer specifics; infection = BOVINE VIRUS DIARRHEA-MUCOSAL DISEASE or HEMORRHAGIC SYNDROME, BOVINE",,,,2002 (1975),"2002; see DIARRHEA VIRUS, BOVINE VIRAL 1994-2001, see BOVINE DIARRHEA VIRUS 1991-1993, see PESTIVIRUSES 1981-1990, see RNA VIRUSES 1975-1980"
{'DescriptorClass': '1'},D001909,QW 166,,,a species of the genus DELTARETROVIRUS; infection = ENZOOTIC BOVINE LEUKOSIS,,,"use LEUKEMIA VIRUS, BOVINE to search BOVINE LEUKEMIA VIRUS 1977-93 & CATTLE LEUKEMIA VIRUS 1975-76","94; was BOVINE LEUKEMIA VIRUS 1977-93 (see under RETROVIRIDAE 1981-90, see under LEUKOVIRUSES 1978-80, see under LEUKEMOGENIC VIRUSES 1977); was CATTLE LEUKEMIA VIRUS see under LEUKEMOGENIC VIRUSES 1975-76","94; was BOVINE LEUKEMIA VIRUS 1977-93 (see under RETROVIRIDAE 1981-90, see under LEUKOVIRUSES 1978-80, see under LEUKEMOGENIC VIRUSES 1977); was CATTLE LEUKEMIA VIRUS see under LEUKEMOGENIC VIRUSES 1975-76"
{'DescriptorClass': '1'},D001911,,,,"do not confuse with HERPESVIRUS 1, BOVINE; infection: coord IM with HERPES SIMPLEX (IM)",,,"use HERPESVIRUS 2, BOVINE to search BOVINE ULCERATIVE MAMMILLITIS VIRUS 1975-93; search ALLERTON VIRUS INFECTIONS under LUMPY SKIN DISEASE 1970-76","94; was BOVINE ULCERATIVE MAMMILLITIS VIRUS 1975-93 (see under HERPESVIRIDAE 1981-90, see under HERPESVIRUSES 1975-80); ALLERTON VIRUS INFECTIONS was indexed under LUMPY SKIN DISEASE 1970-76","94; was BOVINE ULCERATIVE MAMMILLITIS VIRUS 1975-93 (see under HERPESVIRIDAE 1981-90, see under HERPESVIRUSES 1975-80); ALLERTON VIRUS INFECTIONS was indexed under LUMPY SKIN DISEASE 1970-76"
{'DescriptorClass': '1'},D001912,SF 967.M78,,,,,,,91(72); was see under CATTLE DISEASES 1972-90,91; was see under CATTLE DISEASES 1972-90
{'DescriptorClass': '1'},D001913,,,,coordinate with SKIN NEOPLASMS,,,"search CARCINOMA, SQUAMOUS CELL 1969-74","91(75); was see under CARCINOMA, SQUAMOUS CELL 1981-90; was see under CARCINOMA, EPIDERMOID 1969-80","91; was see under CARCINOMA, SQUAMOUS CELL 1981-90; was see under CARCINOMA, EPIDERMOID 1969-80"
{'DescriptorClass': '1'},D001914,QT 260.5.B7,,,/inj: coord IM with specific inj (IM); /physiol permitted; Manual 30.15.1,,,,,
{'DescriptorClass': '1'},D001915,,,,do not confuse with ORTHODONTIC BRACKETS,,,,,
{'DescriptorClass': '1'},D001916,WG 595.B7,,,,,,,,
{'DescriptorClass': '1'},D001917,WL 400,,,dis = BRACHIAL PLEXUS NEUROPATHIES; inflammation = BRACHIAL PLEXUS NEURITIS,,,,,
{'DescriptorClass': '1'},D001918,,,,a type of radiother,,,,80,80
{'DescriptorClass': '1'},D001919,WG 330.5.B7,,,,,,,,
{'DescriptorClass': '1'},D001920,QU 68,,,,,,,,
{'DescriptorClass': '1'},D001921,,,,"general; /blood supply: consider also CEREBROVASCULAR CIRCULATION; CEREBRAL ARTERIES; CEREBRAL VEINS; CRANIAL SINUSES; /cytol: do not routinely convert to NEURONS; /surg: consider specific neurosurgical procedures in Category E4; inflammation = ENCEPHALITIS & its specifics; infarct = CEREBRAL INFARCTION; malacia = ENCEPHALOMALACIA; brain-isolated, encéphale isolé, cerveau isolé: index DECEREBRATE STATE",,,,/enzymology was BRAIN ENZYMOLOGY 1964-65; /physiology was BRAIN PHYSIOLOGY 1965; BRAIN ELECTROPHYSIOLOGY was heading 1964-65,/enzymology was BRAIN ENZYMOLOGY 1964-65; /physiology was BRAIN PHYSIOLOGY 1965; BRAIN ELECTROPHYSIOLOGY was heading 1964-65
{'DescriptorClass': '1'},D001922,WL 351,,,coordinate IM with specific infection (IM) + specific CNS infection term (IM) + site/disease term (IM) if pertinent,,,,,
{'DescriptorClass': '1'},D001923,WL 300,,,differentiate from BRAIN /metab; consider also /chem with specific parts of the brain but probably as NIM with BRAIN CHEMISTRY (IM) if site is merely locational & illustrative,,,,65,65
{'DescriptorClass': '1'},D001924,WL 354,,,,,,,65(63),65
{'DescriptorClass': '1'},D001925,,,,coord with specific condition causing damage if pertinent,,,,,
{'DescriptorClass': '1'},D001926,W 820,,,,,,,1972(1969),1972
{'DescriptorClass': '1'},D001927,,,,,,,,,
{'DescriptorClass': '1'},D001928,WL 348,,,"general or unspecified, prefer specifics",,,,1977; was NON MESH before 1977,1977
{'DescriptorClass': '1'},D001929,WL 348,,,,,,,1965(1964),1965
{'DescriptorClass': '1'},D001930,,,,general or unspecified; consider also /inj with specific parts of the brain; do not confuse with CRANIOCEREBRAL TRAUMA,,,,1981(1963); for BRAIN CONTUSION use BRAIN CONCUSSION 1998-1999,"1981; see BRAIN INJURIES 1981-1999, see BRAIN INJURIES, ACUTE 1973-1980, see BRAIN INJURY, ACUTE 1963-1972; for BRAIN CONTUSION see BRAIN CONCUSSION 1998-1999"
{'DescriptorClass': '1'},D001931,WL 141.5.B6,,,coordinate with specific part of brain/ physiol,,,,68(64),68
{'DescriptorClass': '1'},D001932,,,,coordinate with specific site in brain + histological type of neoplasm,,,,,
{'DescriptorClass': '1'},D001933,WL 310,,,,,,,,
{'DescriptorClass': '1'},D001934,WE 101,,,branchial arch syndrome: index under BRANCHIAL REGION (IM) + SYNDROME (NIM),,,,,
{'DescriptorClass': '1'},D001935,QZ 310,,,"neoplastic; includes branchial inclusion cyst, branchial chondroma, branchial fistula; coordinate with HEAD AND NECK NEOPLASMS",,,,,
{'DescriptorClass': '1'},D001936,,,,infection: coord IM with MORAXELLACEAE INFECTIONS (IM),,,,2020 (1988) was MORAXELLA (BRANHAMELLA) CATARRHALIS 1992-2019; was BRANHAMELLA CATARRHALIS 1988-1991; for MORAXELLA (BRANHAMELLA) CATARRHALIS use BRANHAMELLA CATARRHALIS 1988-1991,2020; was MORAXELLA (BRANHAMELLA) CATARRHALIS 1992-2019; was BRANHAMELLA CATARRHALIS 1988-1991; for MORAXELLA (BRANHAMELLA) CATARRHALIS see BRANHAMELLA CATARRHALIS 1988-1991
{'DescriptorClass': '1'},D001937,,,,,,,,78,78
{'DescriptorClass': '4'},D001938,,,,,,,,,
{'DescriptorClass': '1'},D001939,,,,,,,,,
{'DescriptorClass': '1'},D001940,,,,"human only; animal is MAMMARY GLANDS, ANIMAL; /surg: consider also MASTECTOMY & MAMMAPLASTY; inflammation = MASTITIS; tuberc of breast = MASTITIS (IM) + TUBERCULOSIS (IM), not TUBERCULOSIS, ENDOCRINE; self-examination = BREAST SELF-EXAMINATION",,,,,
{'DescriptorClass': '1'},D001941,,,,"inflamm dis = MASTITIS; tuberc of breast = MASTITIS (IM) + TUBERCULOSIS (IM), not TUBERCULOSIS, ENDOCRINE",,,,,
{'DescriptorClass': '1'},D001942,WS 125,,,human only; /adv eff: refers to effect on infant or mother,,,,,
{'DescriptorClass': '1'},D001943,,,,"human only; BREAST NEOPLASMS, MALE is also available; for animal, index MAMMARY NEOPLASMS, ANIMAL or MAMMARY NEOPLASMS, EXPERIMENTAL; coordinate IM with histological type of neoplasm (IM)",,,,,
{'DescriptorClass': '1'},D001944,,,,NIM,,,,74,74
{'DescriptorClass': '1'},D001945,WB 543,,,,,,,,
{'DescriptorClass': '1'},D001946,WQ 307,,,check the tags FEMALE & PREGNANCY,,,search LABOR PRESENTATION 1966-74,85(75); was see under LABOR PRESENTATION 1963-84,85; was see under LABOR PRESENTATION 1963-84
{'DescriptorClass': '1'},D001947,,,,animals only; PLANT BREEDING is also available,,,,,
{'DescriptorClass': '1'},D001948,,,,coordinate IM with OVARIAN NEOPLASMS (IM),,,,,
{'DescriptorClass': '1'},D001949,,,,,,,,,
{'DescriptorClass': '1'},D001950,,,,,,,,91(76); was see under BRETYLIUM COMPOUNDS 1976-90,91; was see under BRETYLIUM COMPOUNDS 1976-90
{'DescriptorClass': '1'},D001951,QW 125.5.B7,,,"in soil, water, dairy prod & decaying matter",,,,,
{'DescriptorClass': '1'},D001952,,,,,,,,2017(1966),2017; see BRIDGED COMPOUNDS 1966-2017
{'DescriptorClass': '1'},D001954,,,,,,,,91(75); was see under PEPTIDE HYDROLASES 1975-90,91; was see under PEPTIDE HYDROLASES 1975-90
{'DescriptorClass': '4'},D001955,,,,a province of Canada on the Pacific coast,,,,,
{'DescriptorClass': '1'},D001956,WP 275,,,an adnexal ligament; inflammation = PARAMETRITIS,,,search ADNEXA UTERI 1966-74,91(75); was see under ADNEXA UTERI 1975-90,91; was see under ADNEXA UTERI 1975-90
{'DescriptorClass': '1'},D001957,,,,do not confuse with the Publication Type BROADSIDE,,,,2008(1963),2008; see BROADSIDES 1963-2007
{'DescriptorClass': '1'},D001958,,,,,,,,91(75); was see under CRESOLS 1975-90,91; was see under CRESOLS 1975-90
{'DescriptorClass': '1'},D001959,,,,,,,,91(71); was see under BROMINE 1971-90,91; was see under BROMINE 1971-90
{'DescriptorClass': '1'},D001960,,,,,,,,91(75); was see under BENZODIAZEPINE TRANQUILIZERS 1975-90,91; was see under BENZODIAZEPINE TRANQUILIZERS 1975-90
{'DescriptorClass': '1'},D001961,,,,,,,,91(75); was see under CRESOLS 1975-90,91; was see under CRESOLS 1975-90
{'DescriptorClass': '1'},D001962,,,,,,,,91(75); was see under CRESOLS 1975-90,91; was see under CRESOLS 1975-90
{'DescriptorClass': '1'},D001963,,,,,,,,67(65); was see under ENDOPEPTIDASES 1963-66,67; was see under PEPTIDE PEPTIDOHYDROLASES 1963-66
{'DescriptorClass': '1'},D001964,QV 76,,,,,,,74,74
{'DescriptorClass': '1'},D001965,QV 87,,,only for inorganic cpds or bromide ion,,,,,
{'DescriptorClass': '1'},D001966,QV 231,,,,,,,,
{'DescriptorClass': '1'},D001967,,,,"for routine use as tracer, use no qualifiers",,,,88,88
{'DescriptorClass': '1'},D001968,,,,,,,,91(75); was see under UREA 1975-90,91; was see under UREA 1975-90
{'DescriptorClass': '1'},D001969,,,,,,,,75,75
{'DescriptorClass': '1'},D001970,,,,,,,,75,75
{'DescriptorClass': '1'},D001971,,,,,,,use BROMOCRIPTINE to search 2-BROMOERGOCRYPTINE 1975-80,"81; was 2-BROMOERGOCRYPTINE 1978-80, was 2-BROMOERGOCRYPTINE see under ERGOTOXINE 1977, was 2-BROMOERGOCRYPTINE see under ERGOLINES 1975-76","81; was 2-BROMOERGOCRYPTINE 1978-80, was 2-BROMOERGOCRYPTINE see under ERGOTOXINE 1977, was 2-BROMOERGOCRYPTINE see under ERGOLINES 1975-76"
{'DescriptorClass': '1'},D001972,,,,,,,,91(75); was see under DEOXYCYTIDINE 1975-90,91; was see under DEOXYCYTIDINE 1975-90
{'DescriptorClass': '1'},D001973,,,,,,,,66(65),66
{'DescriptorClass': '1'},D001974,QD 281.B7,,,,,,,91(75); was see under SUCCINIMIDES 1975-90,91; was see under SUCCINIMIDES 1975-90
{'DescriptorClass': '1'},D001975,,,,,,,,91(76); was see under CHLOROFORM 1976-90,91; was see under CHLOROFORM 1976-90
{'DescriptorClass': '1'},D001976,,,,an antimetabolite,,,,74(71),74
{'DescriptorClass': '1'},D001977,,,,,,,,91(66); was see under PYRIDINES 1966-90,91; was see under PYRIDINES 1966-90
{'DescriptorClass': '1'},D001978,,,,,,,,91(75); was see under PHENOLS 1975-90,91; was see under PHENOLS 1975-90
{'DescriptorClass': '1'},D001979,,,,,,,,91(75); was see under THYMOL 1975-90,91; was see under THYMOL 1975-90
{'DescriptorClass': '1'},D001980,,,,"inflammation = BRONCHITIS; dilatation = BRONCHIECTASIS; bronchial tuberculosis or tuberculous bronchitis: index under TUBERCULOSIS, PULMONARY & not also under BRONCHI or BRONCHITIS unless particularly discussed",,,,,
{'DescriptorClass': '1'},D001981,WG 595.B76,,,,,,,66(63),66
{'DescriptorClass': '1'},D001982,,,,inflammatory disease = BRONCHITIS,,,,,
{'DescriptorClass': '1'},D001983,WF 500,,,fistula policy: Manual 23.19+,,,,,
{'DescriptorClass': '1'},D001984,,,,"not for bronchial carcinoma (= CARCINOMA, BRONCHIAL see CARCINOMA, BRONCHOGENIC + LUNG NEOPLASMS), nor bronchogenic carcinoma (= CARCINOMA, BRONCHOGENIC + LUNG NEOPLASMS) nor bronchiolar carcinoma (= CARCINOMA, BRONCHIOLAR + LUNG NEOPLASMS); coordinate IM with histological type of neoplasm (IM)",,,,,
